modelo,tempo1,tempo2,tempo3,tempo4,altura,comp,larg,clips
1,1.69,1.60,1.51,1.76,-,-,-,-
2,1.39,1.32,1.48,1.48,+,-,-,-
3,1.42,1.61,1.76,1.87,-,+,-,-
4,1.52,1.47,1.65,1.73,-,-,+,-
5,1.38,1.41,1.46,1.64,+,+,-,-
6,1.49,1.43,1.54,1.68,+,-,+,-
7,1.49,1.47,1.72,1.90,-,+,+,-
8,1.52,1.49,1.54,1.60,+,+,+,-
9,1.49,1.59,1.55,1.73,-,-,-,+
10,1.30,1.45,1.60,1.60,+,-,-,+
11,1.62,1.63,1.71,1.82,-,+,-,+
12,1.38,1.55,1.85,1.61,-,-,+,+
13,1.46,1.47,1.57,1.71,+,+,-,+
14,1.35,1.45,1.74,1.74,+,+,-,+
15,1.45,1.53,1.77,1.61,-,+,+,+
16,1.51,1.49,1.47,1.59,+,+,+,+